,Genes,Target_type
1440,C10orf71,gata4_direct
1441,C15orf41,gata4_direct
1442,L3MBTL4,gata4_direct
1443,UNC5C,gata4_direct
1444,TRDN,gata4_direct
1445,EDIL3,gata4_direct
1446,CACNB2,gata4_direct
1447,COL4A6,gata4_direct
1448,PAM,gata4_direct
1449,ACTC1,gata4_direct
1450,ERC1,gata4_direct
1451,FAM83B,gata4_direct
1452,SPOCK1,gata4_direct
1453,DNAJC15,gata4_direct
1454,MYOZ2,gata4_direct
1455,VMP1,gata4_direct
1456,HNRNPA1,gata4_direct
1457,NFIA,gata4_direct
1458,SCP2,gata4_direct
1459,NMNAT2,gata4_direct
1460,TSC22D2,gata4_direct
1461,TNFRSF19,gata4_direct
1462,KIAA0020,gata4_direct
1463,TSPAN13,gata4_direct
1464,CDK14,gata4_direct
1465,CASP9,gata4_direct
1466,ANTXR2,gata4_direct
1467,FMOD,gata4_direct
1468,THRB,gata4_direct
1469,BCO2,gata4_direct
1470,RCAN2,gata4_direct
1471,LYPD6B,gata4_direct
1472,YPEL2,gata4_direct
1473,PRUNE2,gata4_direct
1474,EIF1B,gata4_direct
1475,HEPH,gata4_direct
1476,COL19A1,gata4_direct
1477,ARHGAP29,gata4_direct
1478,GLCCI1,gata4_direct
1479,CFTR,gata4_direct
1480,NUAK1,gata4_direct
1481,PPP1R3A,gata4_direct
1482,ADAMTS19,gata4_direct
1483,UBR4,gata4_direct
1484,PDE3A,gata4_direct
1485,PIM1,gata4_direct
1486,COMMD1,gata4_direct
1487,SEMA6D,gata4_direct
1488,C2orf29,gata4_direct
1489,NELL1,gata4_direct
1490,LIMS1,gata4_direct
1491,SFRP5,gata4_direct
1492,VCAM1,gata4_direct
1493,UHRF1BP1,gata4_direct
1494,RCAN1,gata4_direct
1495,SPTBN1,gata4_direct
1496,GALNTL4,gata4_direct
1497,ICA1,gata4_direct
1498,GRK5,gata4_direct
1499,SH3GL3,gata4_direct
1500,SPTB,gata4_direct
1501,PIP4K2A,gata4_direct
1502,BIK,gata4_direct
1503,ENOX1,gata4_direct
1504,POPDC2,gata4_direct
1505,CYP51A1,gata4_direct
1506,PLXNA4,gata4_direct
1507,EFNA5,gata4_direct
1508,ABLIM1,gata4_direct
1509,SORT1,gata4_direct
1510,TRIB1,gata4_direct
1511,PYGB,gata4_direct
1512,TNC,gata4_direct
1513,SYNE1,gata4_direct
1514,EPHA3,gata4_direct
1515,SYNPO2L,gata4_direct
1516,SYTL2,gata4_direct
1517,CCBE1,gata4_direct
1518,PACS1,gata4_direct
1519,FBXO32,gata4_direct
1520,SLC12A6,gata4_direct
1521,ESRRG,gata4_direct
1522,NLGN1,gata4_direct
1523,PAG1,gata4_direct
1524,ARG2,gata4_direct
1525,TNS1,gata4_direct
1526,MASP1,gata4_direct
1527,LRRC10,gata4_direct
1528,FGF12,gata4_direct
1529,KIAA0319,gata4_direct
1530,EPB41L4A,gata4_direct
1531,PTPRM,gata4_direct
1532,LRP1B,gata4_direct
1533,DUSP6,gata4_direct
1534,KIF26B,gata4_direct
1535,ADAMTSL1,gata4_direct
1536,KRT8,gata4_direct
1537,PLEKHA7,gata4_direct
1538,MAN1A1,gata4_direct
1539,CITED2,gata4_direct
1540,PLCL2,gata4_direct
1541,NEXN,gata4_direct
1542,ACOT11,gata4_direct
1543,RBMS2,gata4_direct
1544,ZFHX4,gata4_direct
1545,DCBLD2,gata4_direct
1546,SLC1A3,gata4_direct
1547,LMOD3,gata4_direct
1548,ANKRD1,gata4_direct
1549,MED15,gata4_direct
1550,GMPR,gata4_direct
1551,FAT1,gata4_direct
1552,MKL1,gata4_direct
1553,LLPH,gata4_direct
1554,NFIB,gata4_direct
1555,DGKI,gata4_direct
1556,TNNC1,gata4_direct
1557,ZBTB44,gata4_direct
1558,PRIMA1,gata4_direct
1559,ACTN2,gata4_direct
1560,MID2,gata4_direct
1561,ABCA1,gata4_direct
1562,,gata4_direct
1563,GJA5,gata4_direct
1564,MATN2,gata4_direct
1565,TUBA1C,gata4_direct
1566,ROBO2,gata4_direct
1567,INPP5A,gata4_direct
1568,OSBPL3,gata4_direct
1569,MYH7B,gata4_direct
1570,SUCLG2,gata4_direct
1571,ERG,gata4_direct
1572,TRIO,gata4_direct
1573,EPHA2,gata4_direct
1574,ATP8A2,gata4_direct
1575,PPAP2A,gata4_direct
1576,FOXP2,gata4_direct
1577,CALD1,gata4_direct
1578,ETS1,gata4_direct
1579,ODAM,gata4_direct
1580,SLC20A2,gata4_direct
1581,BTG2,gata4_direct
1582,COL1A2,gata4_direct
1583,ADAM22,gata4_direct
1584,CEP290,gata4_direct
1585,LTBP4,gata4_direct
1586,ADAMTS20,gata4_direct
1587,CTSL2,gata4_direct
1588,CLEC2D,gata4_direct
1589,PHLDA1,gata4_direct
1590,PDLIM5,gata4_direct
1591,PKP2,gata4_direct
1592,RAB17,gata4_direct
1593,MYL12B,gata4_direct
1594,STX11,gata4_direct
1595,MYL7,gata4_direct
1596,COL16A1,gata4_direct
1597,LRRC4,gata4_direct
1598,MYH11,gata4_direct
1599,GPR126,gata4_direct
1600,GRIN2A,gata4_direct
1601,NAV2,gata4_direct
1602,CCDC60,gata4_direct
1603,FAM13C,gata4_direct
1604,LAMA4,gata4_direct
1605,SPATS2L,gata4_direct
1606,MYOM1,gata4_direct
1607,FRY,gata4_direct
1608,ECE1,gata4_direct
1609,LGMN,gata4_direct
1610,SYNE2,gata4_direct
1611,PHACTR1,gata4_direct
1612,CAMK2D,gata4_direct
1613,MAN1C1,gata4_direct
1614,SNCAIP,gata4_direct
1615,ST3GAL1,gata4_direct
1616,MYOT,gata4_direct
1617,SLC12A2,gata4_direct
1618,LIN9,gata4_direct
1619,CRIP1,gata4_direct
1620,IGFBP7,gata4_direct
1621,VWC2,gata4_direct
1622,MAPRE2,gata4_direct
1623,CSRP1,gata4_direct
1624,GAS7,gata4_direct
1625,SLC30A3,gata4_direct
1626,RYR2,gata4_direct
1627,CTPS,gata4_direct
1628,DMD,gata4_direct
1629,CA14,gata4_direct
1630,NID2,gata4_direct
1631,GJA3,gata4_direct
1632,MARK1,gata4_direct
1633,KCNIP4,gata4_direct
1634,TSHZ2,gata4_direct
1635,EFR3B,gata4_direct
1636,SLC22A23,gata4_direct
1637,DIAPH3,gata4_direct
1638,AKAP13,gata4_direct
1639,SERPINB2,gata4_direct
1640,MYPN,gata4_direct
1641,PARK2,gata4_direct
1642,MFGE8,gata4_direct
1643,GADD45A,gata4_direct
1644,C1orf105,gata4_direct
1645,ANXA3,gata4_direct
1646,COL18A1,gata4_direct
1647,ENOSF1,gata4_direct
1648,ADPRHL1,gata4_direct
1649,CSRP3,gata4_direct
1650,EIF4EBP1,gata4_direct
1651,TLN2,gata4_direct
1652,RASAL2,gata4_direct
1653,SPRED2,gata4_direct
1654,ATP7B,gata4_direct
1655,TRIM9,gata4_direct
1656,GADL1,gata4_direct
1657,P4HA2,gata4_direct
1658,LRRTM3,gata4_direct
1659,CORIN,gata4_direct
1660,TECRL,gata4_direct
1661,DGKB,gata4_direct
1662,ARSJ,gata4_direct
1663,ROBO1,gata4_direct
1664,ISL1,gata4_direct
1665,TMEM117,gata4_direct
1666,ASAH1,gata4_direct
1667,CDH13,gata4_direct
1668,AUTS2,gata4_direct
1669,COL14A1,gata4_direct
1670,STAC,gata4_direct
1671,FAM189A2,gata4_direct
1672,ITGA9,gata4_direct
1673,RIC8B,gata4_direct
1674,EXOG,gata4_direct
1675,BCL11A,gata4_direct
1676,PTPN3,gata4_direct
1677,INPP4B,gata4_direct
1678,SH3PXD2A,gata4_direct
1679,TMEM163,gata4_direct
1680,TMEM71,gata4_direct
1681,EIF5B,gata4_direct
1682,PID1,gata4_direct
1683,FRMD5,gata4_direct
1684,PLCL1,gata4_direct
1685,DNAH11,gata4_direct
1686,CELF2,gata4_direct
1687,FER1L6,gata4_direct
1688,ALPK3,gata4_direct
1689,PICALM,gata4_direct
1690,SLC30A8,gata4_direct
1691,RBMS3,gata4_direct
1692,TRAK2,gata4_direct
1693,SFRP1,gata4_direct
1694,MAP1B,gata4_direct
1695,NEDD9,gata4_direct
1696,MGST3,gata4_direct
1697,ENOX2,gata4_direct
1698,RPL3,gata4_direct
1699,PLCG2,gata4_direct
1700,IGDCC4,gata4_direct
1701,OSBPL8,gata4_direct
1702,EDNRA,gata4_direct
1703,FBXO40,gata4_direct
1704,TACC2,gata4_direct
1705,HSPB3,gata4_direct
1706,LARGE,gata4_direct
1707,TMTC2,gata4_direct
1708,IL1RAPL1,gata4_direct
1709,IRS1,gata4_direct
1710,EXOC6B,gata4_direct
1711,SLC4A8,gata4_direct
1712,SMPX,gata4_direct
1713,RPA1,gata4_direct
1714,CYB5R1,gata4_direct
1715,MEF2C,gata4_direct
1716,WT1,gata4_direct
1717,FITM1,gata4_direct
1718,ZNF217,gata4_direct
1719,GXYLT2,gata4_direct
1720,PALLD,gata4_direct
1721,FSD2,gata4_direct
1722,CPEB4,gata4_direct
1723,UNC45B,gata4_direct
1724,NTN4,gata4_direct
1725,PDGFB,gata4_direct
1726,ACACB,gata4_direct
1727,SLC4A4,gata4_direct
1728,DNAJB5,gata4_direct
1729,RAPGEF2,gata4_direct
1730,EXTL3,gata4_direct
1731,PHLDB2,gata4_direct
1732,SLIT3,gata4_direct
1733,WDR35,gata4_direct
1734,CNNM2,gata4_direct
1735,CTTNBP2,gata4_direct
1736,ATP11A,gata4_direct
1737,RNF150,gata4_direct
1738,ENPP1,gata4_direct
1739,EZR,gata4_direct
1740,PHACTR2,gata4_direct
1741,DSP,gata4_direct
1742,WEE1,gata4_direct
1743,MGAT4C,gata4_direct
1744,ZNF423,gata4_direct
1745,CAB39L,gata4_direct
1746,LMOD2,gata4_direct
1747,P4HA1,gata4_direct
1748,PFKM,gata4_direct
1749,MOXD1,gata4_direct
1750,LGALS3,gata4_direct
1751,CYP2J2,gata4_direct
1752,AGPAT9,gata4_direct
1753,NTRK3,gata4_direct
1754,ITPRIP,gata4_direct
1755,TMEM106B,gata4_direct
1756,DHRS7C,gata4_direct
1757,AMHR2,gata4_direct
1758,SCN5A,gata4_direct
1759,ANK3,gata4_direct
1760,DLG2,gata4_direct
1761,KIAA0528,gata4_direct
1762,DNAH6,gata4_direct
1763,ACOT7,gata4_direct
1764,FGF18,gata4_direct
1765,C3orf37,gata4_direct
1766,PLCB2,gata4_direct
1767,ITGAV,gata4_direct
1768,RGS3,gata4_direct
1769,C18orf1,gata4_direct
1770,PFKP,gata4_direct
1771,OTOGL,gata4_direct
1772,KANK1,gata4_direct
1773,PCDH9,gata4_direct
1774,FREM1,gata4_direct
1775,HCN4,gata4_direct
1776,RASL11B,gata4_direct
1777,DDAH1,gata4_direct
1778,FLRT2,gata4_direct
1779,ZNF521,gata4_direct
1780,ADCY5,gata4_direct
1781,C19orf51,gata4_direct
1782,PDE10A,gata4_direct
1783,GPRIN3,gata4_direct
1784,LAMA2,gata4_direct
1785,CKMT2,gata4_direct
1786,FAT3,gata4_direct
1787,HTR4,gata4_direct
1788,NARF,tbx5_indirect
1789,THNSL1,tbx5_indirect
1790,F2RL1,tbx5_indirect
1791,GPX8,tbx5_indirect
1792,ACADSB,tbx5_indirect
1793,TP53I3,tbx5_indirect
1794,MFAP2,tbx5_indirect
1795,ESYT1,tbx5_indirect
1796,PDE5A,tbx5_indirect
1797,DCX,tbx5_indirect
1798,ANKRD45,tbx5_indirect
1799,MRPS11,tbx5_indirect
1800,PFKFB4,tbx5_indirect
1801,PLD3,tbx5_indirect
1802,GPX3,tbx5_indirect
1803,SGK1,tbx5_indirect
1804,ARRDC4,tbx5_indirect
1805,PLEKHA2,tbx5_indirect
1806,DNAH2,tbx5_indirect
1807,ALKBH5,tbx5_indirect
1808,PRKCA,tbx5_indirect
1809,TBX4,tbx5_indirect
1810,NAV3,tbx5_indirect
1811,MYO5A,tbx5_indirect
1812,GPX7,tbx5_indirect
1813,FASN,tbx5_indirect
1814,SHISA2,tbx5_indirect
1815,GALNT10,tbx5_indirect
1816,SYT13,tbx5_indirect
1817,ARSB,tbx5_indirect
1818,NRK,tbx5_indirect
1819,TMEM38A,tbx5_indirect
1820,RP13-25N22.1,tbx5_indirect
1821,MAP2,tbx5_indirect
1822,TARBP1,tbx5_indirect
1823,TLN1,tbx5_indirect
1824,ITGA7,tbx5_indirect
1825,KDR,tbx5_indirect
1826,SEMA7A,tbx5_indirect
1827,COL6A1,tbx5_indirect
1828,C3orf70,tbx5_indirect
1829,PCDHA7,tbx5_indirect
1830,OGFOD1,tbx5_indirect
1831,NPR3,tbx5_indirect
1832,IRGQ,tbx5_indirect
1833,FGF11,tbx5_indirect
1834,ATP1A3,tbx5_indirect
1835,PRKAR2B,tbx5_indirect
1836,FN1,tbx5_indirect
1837,RPP25,tbx5_indirect
1838,CDC42EP1,tbx5_indirect
1839,ARAP2,tbx5_indirect
1840,GPR1,tbx5_indirect
1841,ASPM,tbx5_indirect
1842,PCDH1,tbx5_indirect
1843,TRAM2,tbx5_indirect
1844,LRRC16A,tbx5_indirect
1845,COL6A6,tbx5_indirect
1846,LYPD6,tbx5_indirect
1847,GPR64,tbx5_indirect
1848,TMEM173,tbx5_indirect
1849,KIAA1539,tbx5_indirect
1850,PKHD1L1,tbx5_indirect
1851,F11R,tbx5_indirect
1852,ENC1,tbx5_indirect
1853,WFDC1,tbx5_indirect
1854,DOCK9,tbx5_indirect
1855,TM4SF18,tbx5_indirect
1856,MYO6,tbx5_indirect
1857,CALCRL,tbx5_indirect
1858,C6orf204,tbx5_indirect
1859,MAML2,tbx5_indirect
1860,SCUBE1,tbx5_indirect
1861,PRSS35,tbx5_indirect
1862,KCNJ8,tbx5_indirect
1863,CASP4,tbx5_indirect
1864,REN,tbx5_indirect
1865,CD151,tbx5_indirect
1866,STMN2,tbx5_indirect
1867,KIF5C,tbx5_indirect
1868,YWHAZ,tbx5_indirect
1869,RCN1,tbx5_indirect
1870,CLDN1,tbx5_indirect
1871,CCDC115,tbx5_indirect
1872,COTL1,tbx5_indirect
1873,PPM1E,tbx5_indirect
1874,GAS1,tbx5_indirect
1875,SLC6A2,tbx5_indirect
1876,RTN4RL1,tbx5_indirect
1877,PTGS2,tbx5_indirect
1878,FABP7,tbx5_indirect
1879,PLIN3,tbx5_indirect
1880,FHL1,tbx5_indirect
1881,FLT1,tbx5_indirect
1882,HTR1B,tbx5_indirect
1883,HSPA2,tbx5_indirect
1884,C4orf47,tbx5_indirect
1885,ADRB2,tbx5_indirect
1886,C9orf93,tbx5_indirect
1887,TIPARP,tbx5_indirect
1888,CHL1,tbx5_indirect
1889,MLF2,tbx5_indirect
1890,KIFC3,tbx5_indirect
1891,SV2C,tbx5_indirect
1892,REXO2,tbx5_indirect
1893,KAT2A,tbx5_indirect
1894,RBP7,tbx5_indirect
1895,EEA1,tbx5_indirect
1896,41885,tbx5_indirect
1897,CPM,tbx5_indirect
1898,ARID5B,tbx5_indirect
1899,C20orf194,tbx5_indirect
1900,PER3,tbx5_indirect
1901,TGFB3,tbx5_indirect
1902,NFYB,tbx5_indirect
1903,TMEM132B,tbx5_indirect
1904,BOK,tbx5_indirect
1905,SFRS18,tbx5_indirect
1906,CADPS2,tbx5_indirect
1907,DSC3,tbx5_indirect
1908,FDFT1,tbx5_indirect
1909,SETD7,tbx5_indirect
1910,XYLT1,tbx5_indirect
1911,F8,tbx5_indirect
1912,ZIC1,tbx5_indirect
1913,DBI,tbx5_indirect
1914,CAPZB,tbx5_indirect
1915,ACSF2,tbx5_indirect
1916,PGK1,tbx5_indirect
1917,EFNB2,tbx5_indirect
1918,CACNA2D2,tbx5_indirect
1919,TSPAN32,tbx5_indirect
1920,GLS,tbx5_indirect
1921,CHST3,tbx5_indirect
1922,TPD52L2,tbx5_indirect
1923,GPR124,tbx5_indirect
1924,MDGA2,tbx5_indirect
1925,LGI2,tbx5_indirect
1926,NRG1,tbx5_indirect
1927,PTGFR,tbx5_indirect
1928,KRT18,tbx5_indirect
1929,ARNTL2,tbx5_indirect
1930,SNAI2,tbx5_indirect
1931,PITX2,tbx5_indirect
1932,RABAC1,tbx5_indirect
1933,PVRL1,tbx5_indirect
1934,LMO3,tbx5_indirect
1935,KITLG,tbx5_indirect
1936,MID1IP1,tbx5_indirect
1937,TUBB2A,tbx5_indirect
1938,KCNS3,tbx5_indirect
1939,PIK3AP1,tbx5_indirect
1940,ZNF248,tbx5_indirect
1941,STOM,tbx5_indirect
1942,CDON,tbx5_indirect
1943,EMCN,tbx5_indirect
1944,SPINK5,tbx5_indirect
1945,ZNF37A,tbx5_indirect
1946,SLC7A8,tbx5_indirect
1947,PTPRQ,tbx5_indirect
1948,PLEC,tbx5_indirect
1949,WDR91,tbx5_indirect
1950,MYL1,tbx5_indirect
1951,WDR1,tbx5_indirect
1952,PSAT1,tbx5_indirect
1953,CHPF,tbx5_indirect
1954,AL137145.2,tbx5_indirect
1955,DCN,tbx5_indirect
1956,ANKRD18A,tbx5_indirect
1957,AXL,tbx5_indirect
1958,GNL3L,tbx5_indirect
1959,SP4,tbx5_indirect
1960,WDR19,tbx5_indirect
1961,UNC80,tbx5_indirect
1962,EPHA4,tbx5_indirect
1963,ANXA2,tbx5_indirect
1964,SARS,tbx5_indirect
1965,TRIB3,tbx5_indirect
1966,PTPN1,tbx5_indirect
1967,LRRN3,tbx5_indirect
1968,RPS25,tbx5_indirect
1969,TAGLN,tbx5_indirect
1970,ESAM,tbx5_indirect
1971,TRIM4,tbx5_indirect
1972,ZIC5,tbx5_indirect
1973,ELOVL4,tbx5_indirect
1974,CEP250,tbx5_indirect
1975,FNBP1,tbx5_indirect
1976,PDHB,tbx5_indirect
1977,GPR116,tbx5_indirect
1978,ARHGDIB,tbx5_indirect
1979,OLR1,tbx5_indirect
1980,VEGFC,tbx5_indirect
1981,OSR1,tbx5_indirect
1982,PCDHB5,tbx5_indirect
1983,HAS2,tbx5_indirect
1984,LTA4H,tbx5_indirect
1985,ME1,tbx5_indirect
1986,POSTN,tbx5_indirect
1987,SORL1,tbx5_indirect
1988,SFRP2,tbx5_indirect
1989,TUBA1B,tbx5_indirect
1990,ALS2,tbx5_indirect
1991,BCAT1,tbx5_indirect
1992,TMEM88,tbx5_indirect
1993,F2R,tbx5_indirect
1994,MYST4,tbx5_indirect
1995,KIAA1462,tbx5_indirect
1996,JARID2,tbx5_indirect
1997,ACADL,tbx5_indirect
1998,PPP2R1B,tbx5_indirect
1999,FOXF1,tbx5_indirect
2000,FGFR2,tbx5_indirect
2001,CLDN6,tbx5_indirect
2002,TP53INP2,tbx5_indirect
2003,NPPB,tbx5_indirect
2004,HOXB3,tbx5_indirect
2005,NEDD4,tbx5_indirect
2006,BMP6,tbx5_indirect
2007,SMOC2,tbx5_indirect
2008,SLN,tbx5_indirect
2009,CENPE,tbx5_indirect
2010,MMP11,tbx5_indirect
2011,TBX2,tbx5_indirect
2012,PCDH18,tbx5_indirect
2013,EEF1A2,tbx5_indirect
2014,TNNI3,tbx5_indirect
2015,CRMP1,tbx5_indirect
2016,KCTD15,tbx5_indirect
2017,ACTA1,tbx5_indirect
2018,RNF115,tbx5_indirect
2019,FBXL4,tbx5_indirect
2020,FAM13A,tbx5_indirect
2021,WDR60,tbx5_indirect
2022,ZNF506,tbx5_indirect
2023,CAMK1D,tbx5_indirect
2024,NPTN,tbx5_indirect
2025,NKTR,tbx5_indirect
2026,CTNND1,tbx5_indirect
2027,SPAG4,tbx5_indirect
2028,SNAP25,tbx5_indirect
2029,TRHDE,tbx5_indirect
2030,FAM19A4,tbx5_indirect
2031,ANGPTL2,tbx5_indirect
2032,PRELP,tbx5_indirect
2033,LIPE,tbx5_indirect
2034,LMCD1,tbx5_indirect
2035,RP3-412A9.11,tbx5_indirect
2036,PTPN14,tbx5_indirect
2037,NOV,tbx5_indirect
2038,THBD,tbx5_indirect
2039,WDR5B,tbx5_indirect
2040,ZIC2,tbx5_indirect
2041,SLC3A2,tbx5_indirect
2042,MYCN,tbx5_indirect
2043,AKAP12,tbx5_indirect
2044,ABAT,tbx5_indirect
2045,FAM162A,tbx5_indirect
2046,STMN1,tbx5_indirect
2047,FXYD6,tbx5_indirect
2048,MYL9,tbx5_indirect
2049,DGKA,tbx5_indirect
2050,GPR171,tbx5_indirect
2051,CDH8,tbx5_indirect
2052,PCSK6,tbx5_indirect
2053,EBNA1BP2,tbx5_indirect
2054,E2F8,tbx5_indirect
2055,SV2A,tbx5_indirect
2056,SRSF2,tbx5_indirect
2057,TNFRSF1A,tbx5_indirect
2058,ACER3,tbx5_indirect
2059,F2RL2,tbx5_indirect
2060,IGF2,tbx5_indirect
2061,FGF9,tbx5_indirect
2062,PHF14,tbx5_indirect
2063,C12orf53,tbx5_indirect
2064,SOX9,tbx5_indirect
2065,OSTF1,tbx5_indirect
2066,C16orf45,tbx5_indirect
2067,RPN2,tbx5_indirect
2068,PFN1,tbx5_indirect
2069,RORA,tbx5_indirect
2070,ITGA2,tbx5_indirect
2071,EYA1,tbx5_indirect
2072,PTN,tbx5_indirect
2073,AC087465.1,tbx5_indirect
2074,RPS8,tbx5_indirect
2075,COL15A1,tbx5_indirect
2076,DHCR24,tbx5_indirect
2077,TNFRSF11B,tbx5_indirect
2078,HAX1,tbx5_indirect
2079,CYorf15B,tbx5_indirect
2080,RAB15,tbx5_indirect
2081,SLC7A11,tbx5_indirect
2082,KLF7,tbx5_indirect
2083,EXPH5,tbx5_indirect
2084,MDM1,tbx5_indirect
2085,MFSD11,tbx5_indirect
2086,C5orf4,tbx5_indirect
2087,ITGA4,tbx5_indirect
2088,PTPRE,tbx5_indirect
2089,CA8,tbx5_indirect
2090,CLEC16A,tbx5_indirect
2091,SVEP1,tbx5_indirect
2092,NFXL1,tbx5_indirect
2093,NAT1,tbx5_indirect
2094,C8orf42,tbx5_indirect
2095,FDPS,tbx5_indirect
2096,ADAMTSL5,tbx5_indirect
2097,TRIB2,tbx5_indirect
2098,CDH2,tbx5_indirect
2099,41709,tbx5_indirect
2100,KCNIP2,tbx5_indirect
2101,KIAA1522,tbx5_indirect
2102,SLC47A1,tbx5_indirect
2103,RP11-553A10.1,tbx5_indirect
2104,CDH4,tbx5_indirect
2105,CPNE5,tbx5_indirect
2106,SPTLC2,tbx5_indirect
2107,41702,tbx5_indirect
2108,PRDM6,tbx5_indirect
2109,SBDS,tbx5_indirect
2110,C14orf37,tbx5_indirect
2111,THUMPD3,tbx5_indirect
2112,GPD1L,tbx5_indirect
2113,GREM1,tbx5_indirect
2114,ITGA5,tbx5_indirect
2115,IL31RA,tbx5_indirect
2116,DMXL2,tbx5_indirect
2117,ACSL1,tbx5_indirect
2118,TSPAN7,tbx5_indirect
2119,FAM198B,tbx5_indirect
2120,SHPRH,tbx5_indirect
2121,WDR77,tbx5_indirect
2122,AHR,tbx5_indirect
2123,RPL13A,tbx5_indirect
2124,ACAT2,tbx5_indirect
2125,SH3BGRL3,tbx5_indirect
2126,C7,tbx5_indirect
2127,LUC7L3,tbx5_indirect
2128,LMO2,tbx5_indirect
2129,RNPC3,tbx5_indirect
2130,AAK1,tbx5_indirect
2131,AKR1C1,tbx5_indirect
2132,GLT25D2,tbx5_indirect
2133,LZTFL1,tbx5_indirect
2134,UBE2A,tbx5_indirect
2135,IDI1,tbx5_indirect
2136,SOD3,tbx5_indirect
2137,ANKRD36,tbx5_indirect
2138,RAB37,tbx5_indirect
2139,RDH10,tbx5_indirect
2140,SPARC,tbx5_indirect
2141,MTHFD2,tbx5_indirect
2142,ATM,tbx5_indirect
2143,ITGA6,tbx5_indirect
2144,BGN,tbx5_indirect
2145,ZNF558,tbx5_indirect
2146,PLXDC1,tbx5_indirect
2147,AGT,tbx5_indirect
2148,CMTM5,tbx5_indirect
2149,ENO2,tbx5_indirect
2150,SLCO4C1,tbx5_indirect
2151,TMEM176A,tbx5_indirect
2152,UPP1,tbx5_indirect
2153,WNT1,tbx5_indirect
2154,PTGS1,tbx5_indirect
2155,CXXC4,tbx5_indirect
2156,IRX5,tbx5_indirect
2157,VPS45,tbx5_indirect
2158,MLL2,tbx5_indirect
2159,SERPINF1,tbx5_indirect
2160,BNIP3L,tbx5_indirect
2161,SLC7A3,tbx5_indirect
2162,DISC1,tbx5_indirect
2163,CPSF6,tbx5_indirect
2164,CGNL1,tbx5_indirect
2165,COL8A1,tbx5_indirect
2166,COL4A6,tbx5_indirect
2167,SHMT2,tbx5_indirect
2168,RPS4X,tbx5_indirect
2169,C11orf95,tbx5_indirect
2170,ZNF330,tbx5_indirect
2171,C1orf96,tbx5_indirect
2172,AC026703.1,tbx5_indirect
2173,ACTA2,tbx5_indirect
2174,ZFHX2,tbx5_indirect
2175,PCNXL3,tbx5_indirect
2176,BBS5,tbx5_indirect
2177,LOX,tbx5_indirect
2178,RASD1,tbx5_indirect
2179,CD93,tbx5_indirect
2180,CLEC2A,tbx5_indirect
2181,CRYZ,tbx5_indirect
2182,GBP1,tbx5_indirect
2183,GJA4,tbx5_indirect
2184,HNRNPA1,tbx5_indirect
2185,AMOT,tbx5_indirect
2186,CREB3L1,tbx5_indirect
2187,EPHX2,tbx5_indirect
2188,FAM63B,tbx5_indirect
2189,RNF144B,tbx5_indirect
2190,COL13A1,tbx5_indirect
2191,TES,tbx5_indirect
2192,RHOU,tbx5_indirect
2193,UCHL1,tbx5_indirect
2194,IRF6,tbx5_indirect
2195,KIF1C,tbx5_indirect
2196,NMNAT2,tbx5_indirect
2197,PCOLCE,tbx5_indirect
2198,CDH6,tbx5_indirect
2199,MGST1,tbx5_indirect
2200,AK4,tbx5_indirect
2201,SYCP3,tbx5_indirect
2202,HBEGF,tbx5_indirect
2203,FMOD,tbx5_indirect
2204,SLC1A5,tbx5_indirect
2205,DPY19L2,tbx5_indirect
2206,NHSL1,tbx5_indirect
2207,C5orf13,tbx5_indirect
2208,LRRK2,tbx5_indirect
2209,ARHGAP11A,tbx5_indirect
2210,WDR52,tbx5_indirect
2211,KLHDC5,tbx5_indirect
2212,APOBEC4,tbx5_indirect
2213,PAIP2B,tbx5_indirect
2214,GRLF1,tbx5_indirect
2215,RP4-788L13.1,tbx5_indirect
2216,SCN9A,tbx5_indirect
2217,CCDC102B,tbx5_indirect
2218,COL19A1,tbx5_indirect
2219,ELTD1,tbx5_indirect
2220,CYP1B1,tbx5_indirect
2221,GLCCI1,tbx5_indirect
2222,EIF4B,tbx5_indirect
2223,PPP1R3A,tbx5_indirect
2224,CCDC80,tbx5_indirect
2225,GARS,tbx5_indirect
2226,FGF7,tbx5_indirect
2227,TRIM58,tbx5_indirect
2228,PTMA,tbx5_indirect
2229,S100A11,tbx5_indirect
2230,CHST11,tbx5_indirect
2231,TYMS,tbx5_indirect
2232,DARS,tbx5_indirect
2233,PHB,tbx5_indirect
2234,LAMA1,tbx5_indirect
2235,TNFRSF12A,tbx5_indirect
2236,LRRC2,tbx5_indirect
2237,FNDC5,tbx5_indirect
2238,SYTL5,tbx5_indirect
2239,FARP1,tbx5_indirect
2240,FOXO1,tbx5_indirect
2241,ATP6V1D,tbx5_indirect
2242,RABGAP1L,tbx5_indirect
2243,GJD2,tbx5_indirect
2244,ADM2,tbx5_indirect
2245,CD34,tbx5_indirect
2246,INHBE,tbx5_indirect
2247,ADAMTS3,tbx5_indirect
2248,MDK,tbx5_indirect
2249,DSEL,tbx5_indirect
2250,ARID3A,tbx5_indirect
2251,RNASET2,tbx5_indirect
2252,ANXA1,tbx5_indirect
2253,FZD7,tbx5_indirect
2254,TMEM167B,tbx5_indirect
2255,SH3GL3,tbx5_indirect
2256,SPTB,tbx5_indirect
2257,PIP4K2A,tbx5_indirect
2258,IGFBP6,tbx5_indirect
2259,SH3BGRL,tbx5_indirect
2260,NBPF10,tbx5_indirect
2261,COL1A1,tbx5_indirect
